Name,Organization,Project 
Ishan Vatsaraj,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Daniel Ko,Continuous Delivery Foundation,The Continuous Delivery Foundation (CDF) is an open-source community that seeks to improve the world’s capacity to deliver software with security and speed.
mmalenic,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Phuoc-Khanh LE,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Sylwia Majchrowska,gprMax,"Numerical modelling software for simulating electromagnetic wave propagation, and the most widely-used tool for simulating Ground Penetrating Radar (GPR)."
Aryan Verma,"Department of Biomedical Informatics (BMI), Emory University School of Medicine","We are pushing the boundaries at the intersection of data science, software research and development, and integrative biomedical research to advance healthcare."
Paula Marin,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Anuradha Pandey,Apertium,A free/open-source machine translation platform.
Prakhar Saxena,SymPy,SymPy is a Python library for symbolic mathematics. It is a full-featured computer algebra system (CAS). SymPy is written entirely in Python.
Esandha Vithanage,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Suraj Kumar Mahto,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Aman Gupta,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Aleksei Dorkin,FrameNet Brasil (UFJF),"FrameNet Brasil is a Computational Linguistics lab of the Graduate Programs in Linguistics and Computer Sciences at the Federal University of Juiz de Fora, Brazil."
Cédric Dollet,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Akash Saini,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Priyanshu_Agarwal,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Dmitry Volodin,Orcasound,Humans & machines listening together to save the whales.
jrybak,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Vedant Nandoskar,caMicroscope,"caMicroscope is a digital pathology image viewer with support for human/machine generated annotations, markups, and machine learning development"
Raghav Bhatia,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Priyank Patel,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Shiven Tripathi,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Jenny Yu,TARDIS SN,TARDIS is a community-developed tool to simulate the spectrum of light emitted by exploding stars using Monte Carlo techniques.
Yash Pandey,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
Linda Kladivova,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Namit Chandwani,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
giulio,Qubes OS,Qubes OS is a security and privacy-focused free and open source operating system.
Kannav Krishan Mehta,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Simon Thor,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Vladislav Kakurin,MariaDB Foundation,"MariaDB is a default MySQL replacement in many Linux distributions. It offers many feature enhancements including new storage engines, advanced optimizations, and other features."
Adam R. Jensen,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Artemis Georgopoulou,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Zhengkun Chen,GNSS-SDR,"GNSS-SDR is a GNSS software receiver, written in C++, that is able to work from raw signal samples and performs all the signal processing until the Position-Velocity-Time solution."
Sahan Dissanayaka,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Ji Ho Kang,The Apache Software Foundation,Providing open source software to the public free of charge
acmcmc,Django Software Foundation,"Django is a high-level Python Web framework originally designed to build high-performing, elegant Web applications quickly."
Sahil Grewal,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Aakash Kaushik,mlpack,"mlpack is a fast, flexible machine learning library written in C++."
Paritosh Singh,Project WikiLoop,WikiLoop is an umbrella for a series of projects contributing to open knowledge at scale. Tibetan Initiative branch focuses on preserving precious knowledge of human civilization.
Saurabh Gupta-1,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
